id,product_id,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,score,time,summary,text,helpfulness_percentage
455281,B0007NIWU0,A3ASQV479KEWH0,John C. Hall,16,18,5,1203897600,Excellent Smoked Salmon,"This was fantastic smoked salmon, and the quantity was generous compared to other on-line smoked salmon retailers.",0.8888888888888888
70650,B000F4EU66,A1JOS7QBMBREGZ,HLA,16,24,1,1179619200,NOT GLUTEN FREE,I found this under a search for gluten free foods and this is NOT gf.,0.6666666666666666
271036,B000IOC7RW,A1YC0DRHQCOIGD,KEWB,15,15,5,1287187200,Buy some now,"Seriously, is there even a point to buying Chex Mix since these are available separately?",1.0
371927,B000N4G78C,A2HRHL6B49RBU,"troutski ""troutski""",15,15,3,1231372800,way over priced,"If indeed this is a 4.4 pound box, it's 11.99 in the grocery stores on the west coast.....",1.0
387550,B00271NNLI,AT2SIUXV9ZLXS,G. Arsenault,15,15,4,1270857600,Best Pods,"Better than Puck's.  Better than Senseo.  Tastes good.  I like it strong., not bitter.",1.0
498049,B0013NBM5A,A2OALO44Q7KA5A,"Allora ""word smith""",15,15,1,1306972800,Poor quality,Soft and Stale.  We ate a few when we opened the jug but we will throw the rest away.,1.0
313597,B000VXYV6K,AQZZEJ5L3WE67,"George W. Pepper ""GP""",15,16,5,1239408000,Have a Heart? Electric Fence,Works as advertised. Keeps our dogs out of the strawberry patch. Not sure that our dogs like it.,0.9375
275153,B004YPJKBC,A36KUKPSRQRDRA,Don Murphy,15,17,4,1305676800,Cost is to High,I get these from our local Costco. At Costco they sell for 9.99 for 6 cans. Buyer be ware.,0.8823529411764706
484628,B000F3OERW,A79WZ6N6TP6W4,PokerPlayer,15,17,5,1146182400,Another Quality Product!,I love these things!!!  They are a great energy booster and they taste great!,0.8823529411764706
88020,B001EPPYH4,A14ESHE6916CRM,Evergreen,15,22,1,1286236800,No Chocolate,"Anybody bother to notice that there is no chocolate listed as an ingredient in this hot ""chocolate?""",0.6818181818181818
295296,B000LQNK50,A273P4BY30DFGA,Michelangelo Grigni,15,37,1,1219190400,NOT VEGETARIAN!,This product is NOT VEGETARIAN as claimed in Amazon product description! Ingredient label contains SHRIMP.,0.40540540540540543
113694,B001EQ5NG0,A1UOUIB6X8T9YR,Eric R. Sy,14,14,5,1249948800,Sour Power,it's the truth.  two big a tubs and it tastes just like back in the day.,1.0
178948,B001VNLV0I,A2UAJCT301H6KK,Connor,14,14,1,1279670400,Beware - Has sand in it.,The powder was contaminated with so much sand that it was unusable and had to be trashed.,1.0
388884,B000QV0MA6,A2XP68AZYJTB0J,Mother of Two,14,14,5,1153958400,Gumballs,Kids love them.  They taste close to regular gumballs but no worry about teeth.,1.0
431555,B000N8FGLC,A3KAAO84YK2GS,Jerry E. Olson,14,14,5,1267833600,Sprouting Jar,This one quart sprouting jar is perfect for sprouting a weeks worth of sprouts for two people nicely.,1.0
514157,B000J6EO9S,A1QMJBMMEDO0RM,"Tim H ""Tim""",14,14,5,1208044800,coffee just like restaurants use,"This is the same stuff most restaurants use, at least in the western USA. good stuff, consistent.",1.0
185637,B0019MYZGS,A1QBDXVN9HY21G,"Linn E. Caroleo ""Linn C.""",14,15,5,1239753600,maple syrup,"Very dark amber and sweet maple syrup from the state that does it best, Vermont. Highly recommended. Very good price.",0.9333333333333333
92179,B0007R9L4M,ATRKSEMLR6L4,Brian Pang,14,16,5,1162857600,"Good, but this makes it better",Add a can of red kidney beans to get the most out of this entree.,0.875
191040,B000V1O40U,AWJAEX7VFW10B,K. Watts,14,17,5,1201392000,Very good product,This makes a great breakfast cereal and is also good in  place of rice or potatoes. Very fast delivery.,0.8235294117647058
375232,B00016LZRK,A21JN4Y9VEUZMG,D. Green,14,17,5,1167868800,Wonderful product,This is the best powdered chicken broth on the market. I also appreciated the fact that it is gluten free.,0.8235294117647058
250965,B000JMDGY6,A3Q0MHIHKUOEJZ,mag,14,20,1,1278115200,Expired,I ordered several spices from this company and many were already expired when they arrived.  I would not recommend.,0.7
438438,B00015UC48,A3PV4S0DHH5CGZ,Richard Peacock,14,22,5,1163116800,Agar Powder,It was good to be able to buy a hard to find item at a reasonable price.,0.6363636363636364
156180,B000FDMM0S,A3CPU6NZNKB5JA,"Yelena Burkut ""mom of two""",13,13,5,1325289600,Great for health conscious pasta fans,  Length:: 1:05 Mins   This is one of the best pasta I found ,1.0
332647,B001FA1LW0,A1EWLP73LL9638,Deborah Patrick,13,13,3,1297555200,For the most part happy with the milk but...,"I wish they would have noted the expiration date, it is not even 60 days from the date of delivery.",1.0
456086,B0007IJE0W,A3MYYXA1PVR28X,addicted to amazon,13,13,5,1287878400,great gift!,my parents (huge coffee lovers) thought this gift was absolutely phenomenal. They enjoyed every single item in the basket!,1.0
478147,B001O2IWVW,A2WPYWTLYAEFEA,Jamie,13,13,1,1340323200,SCARY!,I noticed that there was a label for another formula underneath the Earth's Best label! Buyer Beware! Check the label(s)!!!,1.0
503634,B000KHMWQS,A2K1YOPFW4FMHY,M. Batchelor,13,13,5,1189987200,Great Kippers,These are absolutely great Kippers. And at a great price. They are almost impossible to find in stores.,1.0
274579,B004PR2OYE,A3H52BNVSHJJC6,LordTrouble,13,14,2,1323129600,Count What you get!!!!!,"The selection wasn't too bad. However, I only received 23 instead of the 24. Feel like I got slightly screwed.",0.9285714285714286
375351,B0027YZBJC,AGJLD33CGEXXL,Hope,13,14,5,1260316800,Delicious Dates!,"I love this brand of dates, they remain soft and fresh for ages. Will definitely buy these again.",0.9285714285714286
429713,B002E0UE8C,A1ZMS3LQ95Y7U4,cs,13,14,5,1285027200,dried fruit,The dried fruit and pistachios were really good.  Would purchase again from this company.,0.9285714285714286
526390,B001E5E1KA,A355OR05BBA33U,Christina I. Vicioso,13,14,5,1278979200,Great Taste,I have tried many versions of Stevia and this one seems to taste the best.,0.9285714285714286
184870,B00171417O,A14L15JM990MBP,"David Barnes ""Scenic City Dave""",13,15,5,1224288000,Delicious burgers!,"The hamburgers were delicious, fresh and easy to cook. I will definitely order them again. Quick, COLD shipping, too!",0.8666666666666667
192063,B000HDEHSQ,A1QIJNLCXVSKCO,Cyndi Ann,13,16,4,1189555200,It is what it is,Pro: a convenient low fat clam chowder Con: it tastes like a can of low fat clam chowder,0.8125
307345,B0010OF8UW,A2H190J0LDJZJZ,Jeff Leonard,13,16,1,1261958400,"Missed delivery, bad track record",They missed Christmas delivery by 5 days! Customer service is very unknowledgeable. Google reviews for them before buying.,0.8125
462399,B00011RJU2,A2SEHF87JJ64LP,"John C. Borgquist ""John B""",13,16,4,1121817600,Pricey,"This juice is very delicious, but you can buy it for about 5 at Trader Joe's.",0.8125
106167,B0008DI8OY,A13AIHBGPU6VVI,Steamboat Spgs Figure,12,12,5,1259539200,Great for melting chocolate,This product helps keep chocolate smooth and silky - great for filling molds and pouring over truffles,1.0
126317,B0000CES0O,A1QDS3YFRKS0NK,"babs ""babs""",12,12,5,1247356800,cat grass,"My cats love this stuff, it keeps them away from my plants and grows really fast.",1.0
222148,B0001689UG,A2XZLQZSPDEWPY,Bruce L. Lahue,12,12,5,1196380800,Fabulous taste,"As a lover of black walnuts, I'm pleased to say these are among the best I have seen.",1.0
257699,B000EQX62Y,A33JWJ1ZPDOJG8,Charles W. Golden,12,12,5,1221523200,Unique color and flavor,"I normally only eat flavored chips, but these are great. Not very greasy, little salt, but a great flavor.",1.0
380362,B00112CND8,A325TABMMDGEFW,Janice C. Nelson,12,12,5,1247875200,Best ever flour!!,This flour blend makes everything you bake seem like you're baking with wheat flour!!  I love it,1.0
398034,B000V17MLS,A1O8B339CM5VAU,"R. Moreno ""nemo""",12,12,5,1242691200,No Need for Chicken,Wife uses potatoes and chickpeas with this.  Very very close to restaurant quality Indian food.,1.0
476045,B001V78QZW,A2VXMPDC2A5MYK,"Catherine ""60-year-old retired library worker...",12,12,5,1272672000,Satisfaction,This gave us a chance to try several varieties we might otherwise have missed. Loved it!,1.0
510768,B000PILF24,A37U6NZXIT3OTJ,K. McFadden,12,12,5,1231632000,fabulous tea,"this is a wonderful smooth, light, flavorful tea. It's just fabulous. Not bitter, not overly sweet. Just right.",1.0
33100,B004Q70FAI,A3M7MOLBAQS6XQ,MONICA ALDERSON,12,13,5,1330992000,Yummy!,   This organic coconut palm sugar tastes great.  Exactly like cane sugar.,0.9230769230769231
447479,B001E5E1L4,A2KR8Q4CNFIEVC,Ronaldinho,12,13,5,1188864000,Love it!,"I love Hemp and this stuff tastes great.  I add it to cereal, smoothies and veggies.",0.9230769230769231
526242,B002U8TWAY,A2HDRE3A1HKBSQ,Tflesh,12,13,1,1317600000,$96!!!,"96 for 24 20oz bottles? I get them at the local Giant for .87 per bottle, you do the math.",0.9230769230769231
209974,B001G5ORLG,A10CAPBGOMXRBY,"Murph ""MrMurph""",12,14,5,1242864000,Wow Excellent,The Celebration pack is great! Lots of food for a real good price. I highly recommend this package.,0.8571428571428571
567115,B000LQJKI6,A2SS3C3B4Y5U31,"Slovia Gabay-crichton ""Jamaican Beach Bum""",12,15,5,1197763200,The best chocolates in the world,"These are the best chocolates in the world, all the others dim in comparison including godiva.",0.8
81003,B000LKZDTW,A3PU388KKMST8W,"Ruby June ""RJ""",12,16,1,1196035200,do not buy this item,The price for this item is three times what you would pay at the store.,0.75
245984,B0007OVXY6,A32IBJNXQB3HQ5,"d miller ""chef wanabe""",12,17,1,1254441600,terrible,"This stuff is awful, over salted and terribly flavored. I'm throwing it away. Maybe a landfill could use it.",0.7058823529411765
485885,B001EQ5NHE,AZWW1U604W0N,Smoten,12,17,5,1236988800,Mystery Meat,"And if you don't want to spring for ""new"" Spam, Amazon sells it ""used"". Whoa.",0.7058823529411765
307320,B000IBODHC,A1458K3FNCIQO9,Xenabyte,12,18,5,1191110400,Tie Guan Yin Oolong Tea - GOOD STUFF!,"I love this tea.  It's very smooth and has a wonderful flavor, hot or cold.  Great tea!",0.6666666666666666
218026,B000GZSDSA,APKIMIJUJ2FQP,Eileen M. Brown,12,21,1,1225584000,"contains milk, from china",I threw them all out. They contain milk products and were manufactured in China.,0.5714285714285714
208635,B0001WKFZ2,A1BRQW6S16FW2H,Yogesh K. Jain,12,25,1,1107561600,Very Expensive,I picked up a 1 Oz tin of same brand for 14.99 in Dallas area,0.48
124564,B000UZLQG2,A1S8LSDXLDE8A4,Robert P. Betzold,12,27,1,1201651200,TRANS FAT,THIS IS PARTIALLY HYDROGENATED OIL. I'd give this product minus stars if I could. You be the judge.,0.4444444444444444
290551,B000JZA1VO,A1LCMGZTP35TAD,A. Lopez,12,29,3,1262908800,wow...people are actually buying this? ^_^,dorks. You could go to any local Sam's Club or Costco and buy the box for around 12.,0.41379310344827586
453605,B001E4S850,AMIG8HULEVN9T,M. Berardy,12,30,1,1286928000,Hydrogenated - DON'T BUY THIS!!!,I know it's been said but I just want to echo this is Hydrogenated - DON'T BUY THIS!!!,0.4
84172,B000N8EV8G,A346AH9J5GPAIF,"Irv M. Scolnick ""Irv""",11,11,3,1245801600,MSG,It does not seem to be as strong a seasoning enhancer as other MSG products that I have bought.,1.0
96959,B0000DK4ZR,A35FWC1A28C4IP,R. Burton,11,11,5,1238112000,AMAZING!!!,AMAZING!!!! These marshmallows are just like the ones they never seem to put enough of in hot cocoa mixes.,1.0
155333,B000GAT6NG,A1II6MA03YHN5T,L Filippi,11,11,5,1173398400,Nutiva organic coconut oil,"Love this.  Great substitute for shortening.  Keeps baked goods moister, and is excellent for cooking eggs and vegetables.",1.0
190297,B001IQ1ITW,A2AOBM7ARKX3PE,CINDY MCCAMENT,11,11,5,1255651200,Cindy McCament,Tastes great!  Can't tell the difference from regular ketchup.  Doesn't taste like a low-carb product at all!,1.0
263953,B00354MQ3C,A2ZWKWTIUB68A8,Nicholas B. Whitehead,11,11,3,1323820800,way smaller than i expected,yeah its super small and at the price i paid i expected way more i hope the recipients enjoy it,1.0
270704,B000HL892S,AKNRVBCQ1ZF0B,"SW ""SW""",11,11,5,1169942400,Best. Dessert. Ever.,"Nothing in the world can compare to a Cherry Bakewell.  NOTHING, I SAY!",1.0
328241,B0001AO9LA,A15JBE3O8RZFGV,"Russell A. Williams ""RussWill""",11,11,5,1171065600,Allsorts Allways delicious,"In all the years I've enjoyed this brand, I've NEVER had a bad batch.",1.0
342234,B000SWVPV8,A21644XY3T710P,Michael West,11,11,4,1260921600,It is salt,Great for foods or when making foods.  Salt is moist and wont work well with grinders.,1.0
459172,B000LRFYVC,A28ZG8Z0C5R9M5,Michael L. Smith,11,11,5,1185148800,Delicious,"The product is good, and the service was good. The order was here promptly. The lingonberries are delicious.",1.0
471786,B000UWE0AO,AMXWB9X6AQPJY,Cindy,11,11,5,1244937600,"Best bonito flakes ever, great value","Highest quality we've ever found, and the big bag of high-quality flakes makes it a great value.",1.0
505963,B0001JXBCO,A3BLX1Q94GWDWA,"Meatcop ""Meatcop""",11,11,5,1201478400,Very Good product.  It's something I cant find locally.  The only suggestion is get more than one to save on shipping.,Excellent product.  The only recommendation is get more than one to save on shipping.,1.0
534527,B0000VLETA,A9CLLVHHDF5EK,bmhnfa,11,11,5,1204848000,Ateco Food Color Markers,"Great product!!!  Fine tip for details, but can also fill-in large areas.  Would definitely buy again.",1.0
28334,B000CDP2XA,A7UFLRRALDING,"Aamund ""techninja""",11,12,5,1149465600,Are U Nuts?,"This product is available COLD for 1.99 each RETAIL.  Even less in the four pack, or ""case"" of 12.",0.9166666666666666
79309,B003TNANSO,AN11XFDR3CZ6F,"Avalee Suneima ""Avid Reader""",11,12,5,1255996800,Kind Plus Cranberry & Almond Bars,These bars are delicious.  Not heavy on the stomach with just enough sweetness to satisfy.,0.9166666666666666
169052,B000G176EG,AF62W6NCDXM6E,ls,11,12,5,1193875200,very good,"flavorful, not too spicey, great consistency - not too runny, no too thick. Really really really good chili.",0.9166666666666666
229095,B00015UC5M,A2I3SRF5ECG7ZN,"G. Jaimes ""urbano77""",11,12,5,1221091200,Just what I wanted!,The product works great! It's a perfect thickener. Just remember a little goes a very long way.,0.9166666666666666
301603,B005GNXZMG,A2UO29PPDQCSEQ,LWG,11,12,1,1316304000,Not as advertised,I ordered this item and only received 1 bag instead of the advertised 2 bags. This was a bit disappointing.,0.9166666666666666
